#,Name,Team,Time_nice,Time_secs,Gap,HR,Watts,W/Kg,Points,Orange,KOM,Int. S,DS/DC,Report,MAR,Par.,Total
1,C. Monk,Lego,13:38,2258.6,0,0,250,3.7,70.9,20,10.0,,,,,2,102.9
2,T. File,Lego,13:46,2266.1,8,192,249,3.4,60.2,17,25.0,20.0,5,,,2,129.2
3,J. Warman ,ABS,14:05,2285.4,27,0,257,3.4,49.6,16,18.0,,,,,2,85.1
4,G. Humphreys,Tesla,14:05,2285.4,27,170,275,3.2,42.5,14,18.0,,,20,,2,96.0
5,N. Sharpe,Lego,14:22,2302.3,44,151,258,3.8,35.4,18,11.0,,,,,2,66.0
6,N. Foley,AZT,14:22,2302.4,44,171,255,3.4,31.9,15,,,,,,2,48.9
7,E. Wetbeak,Lego,14:22,2302.4,44,152,294,3.9,30.1,12,18.0,30.0,,,,2,91.6
8,C. Graley ,ABS,14:23,2303.2,45,161,272,3.7,28.4,11,21.0,,,,20,2,82.7
9,L. Felton,Lego,14:23,2303.5,45,174,163,2.9,26.6,9,11.0,,,,,2,48.9
10,D. Thompson,ABS,14:39,2319.6,61,0,245,3.2,24.8,10,9.0,,,,,2,45.6
11,G. Dix,ABS,14:40,2320.0,61,173,330,3.9,23.0,13,9.0,50.0,,,,2,97.4
12,H. Courtier,ABS,14:50,2330.6,72,0,275,3.3,21.3,6,,40.0,8,,,2,77.3
13,T. Mogford,Lego,14:51,2331.8,73,171,228,3.0,20.6,4,,,,,,2,26.6
14,G. Acheson,Tesla,14:52,2332.0,73,157,259,3.5,19.8,7,,,,20,,2,48.8
15,A. (Scottie) Neil,Tesla,14:53,2333.3,75,161,218,3.2,19.1,5,,,,,,2,26.1
16,S. Kapila,Tesla,14:55,2335.0,76,0,226,3.6,18.4,8,,,,,,2,28.4
17,L. Lagnado,Tesla,15:19,2359.7,101,147,285,2.7,17.7,4,,,,,,2,23.7
18,R.Tyler,AZT,15:20,2360.7,102,158,282,2.4,17.0,4,,,,,,2,23.0
19,R. France,AZT,15:22,2362.2,104,173,266,3.3,16.3,5,,,,,,2,23.3
20,D. Singh,AZT,15:48,2388.0,129,165,236,3.2,15.6,3,,,,,,2,20.6
21,J. Whitecross,Tesla,15:56,2396.7,138,0,243,3.2,14.9,3,,,,,,2,19.9
22,T. Lopez,AZT,17:15,2475.0,216,148,341,3.0,14.2,3,,,,20,,2,39.2
23,E. Smith,Tesla,17:18,2478.7,220,0,271,3.1,13.5,3,,10.0,2,,,2,30.5
24,B. Wilson,AZT,20:43,2683.7,425,0,120,3.2,12.8,3,,,,,,2,17.8
