#,Name,Team,Time_nice,Time_secs,Gap,HR,Watts,W/Kg,Points,Orange,KOM,Int. S,DS/DC,Report,MAR,Par.,Total
1,D. Greenish,AZT,36:19,2179.2,0,176,282,3.5,,3.0,0,0,0,0,0,,3.0
2,H. Greenish,AZT,37:21,2241.4,62,180,377,3.9,,3.0,0,0,0,0,0,,3.0
3,C. Graley ,ABS,37:25,2245.0,66,158,284,4.0,,15.0,0,0,0,0,0,,15.0
4,T. Mogford,Lego,37:45,2265.5,86,167,246,3.2,,11.0,0,0,0,0,0,,11.0
5,G. Humphreys,Tesla,37:50,2270.3,91,165,294,3.5,,16.0,0,0,0,0,0,,16.0
6,A. Bath,Lego,37:50,2270.3,91,0,265,3.9,,3.0,0,0,0,0,0,,3.0
7,J. Whitecross,Tesla,37:51,2271.2,92,143,254,3.3,,7.0,0,0,0,0,0,,7.0
8,N. Sharpe,Lego,37:52,2272.4,93,172,256,3.5,,14.0,0,0,0,0,0,,14.0
9,J. Warman ,ABS,37:52,2272.7,94,172,271,3.5,,20.0,0,0,0,0,0,,20.0
10,G. Dix,ABS,38:05,2285.9,107,169,331,3.5,,18.0,0,0,0,0,0,,18.0
11,E. Smith,Tesla,38:06,2286.6,107,144,281,3.2,,5.0,0,0,0,0,0,,5.0
12,G. Acheson,Tesla,38:23,2303.5,124,162,260,3.5,,4.0,0,0,0,0,0,,4.0
13,N. Foley,AZT,38:38,2318.4,139,170,262,3.1,,17.0,0,0,0,0,0,,17.0
14,B. Smith,Lego,38:44,2324.8,146,165,257,3.3,,3.0,0,0,0,0,0,,3.0
15,D. Singh,AZT,38:46,2326.1,147,161,242,3.2,,6.0,0,0,0,0,0,,6.0
16,L. Constable,ABS,38:54,2334.9,156,0,282,3.4,,3.0,0,0,0,0,0,,3.0
17,A. Haddock,Lego,38:55,2335.8,157,0,242,3.2,,3.0,0,0,0,0,0,,3.0
18,A. Gilroy,AZT,39:39,2379.3,200,0,259,3.3,,,0,0,0,0,0,,0.0
19,A. Layton,ABS,39:41,2381.3,202,0,274,3.2,,3.0,0,0,0,0,0,,3.0
20,R. France,AZT,40:16,2416.6,237,0,263,3.3,,12.0,0,0,0,0,0,,12.0
21,T. Lopez,AZT,40:30,2430.3,251,157,360,3.2,,9.0,0,0,0,0,0,,9.0
22,A. (Scottie) Neil,Tesla,40:54,2454.7,275,0,205,2.9,,5.0,0,0,0,0,0,,5.0
23,J. Coote,Tesla,41:11,2471.2,292,158,318,3.3,,3.0,0,0,0,0,0,,3.0
24,C. Monk,Lego,41:56,2516.4,337,0,239,3.3,,13.0,0,0,0,0,0,,13.0
25,L. Lagnado,Tesla,42:30,2550.6,371,140,234,2.4,,3,0,0,0,0,0,,3.0
26,B. Wilson,AZT,43:32,2612.4,433,0,121,4,,3,0,0,0,0,0,,3.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
,,,,,,,,,,,0,0,0,0,0,,0.0
