#,Name,Team,Time_nice,Time_secs,Gap,HR,Watts,W/Kg,Points,Orange,KOM,Int. S,DS/DC,Report,MAR,Par.,Total
1,A. Schwarz,Tesla,48:09,2889.7,0,165,250,3.2,133.3,,80,30,0,0,0,2,245.3
2,T. Lopez,AZT,48:23,2903.1,13,159,365,3.3,113.3,13,31,45,0,0,0,2,204.3
3,G. Humphreys,Tesla,48:23,2903.2,14,0,296,3.4,93.3,20,46,15,0,0,0,2,176.3
4,L. Constable,ABS,48:23,2903.6,14,0,289,3.5,80.0,,31,20,20,0,0,2,153.0
5,J. Whitecross,Tesla,48:24,2904.0,14,154,253,3.2,66.7,11,16,0,0,0,0,2,96.2
6,G. Acheson,Tesla,48:29,2909.1,19,161,267,3.6,60.0,7,44,40,20,0,0,2,173.5
7,E. Wetbeak,Lego,49:16,2956.5,67,154,290,3.4,56.7,12,31,0,11,0,0,2,113.5
8,N. Sharpe,Lego,49:16,2956.7,67,157,255,3.4,53.3,18,37,0,0,0,0,2,110.3
9,G. Dix,ABS,50:10,3010.4,121,170,324,3.3,50.0,16,0,0,0,0,0,2,68.0
10,J. Warman ,ABS,50:10,3010.6,121,179,272,3.4,46.7,17,0,0,0,0,0,2,65.7
11,N. Foley,AZT,50:27,3027.0,137,171,266,3.1,43.3,15,0,0,0,0,0,2,60.3
12,H. Greenish,AZT,50:34,3034.5,145,186,366,3.5,40.0,,0,75,0,0,0,2,117.0
13,A. Gilroy,AZT,50:35,3035.6,146,0,261,3.3,38.7,,19,35,0,0,0,2,94.7
14,B. Smith,Lego,50:36,3036.3,147,164,258,3.4,37.3,,19,10,0,0,0,2,68.3
15,H. Courtier,ABS,51:04,3064.2,175,169,263,3.1,36.0,4,0,45,0,0,0,2,87.0
16,L. Lagnado,Tesla,51:06,3066.7,177,0,253,2.4,34.7,6,0,35,0,0,0,2,77.7
17,D. Greenish,AZT,51:54,3114.5,225,1,292,3.6,33.3,,65,0,6,0,0,2,107.0
18,R. France,AZT,51:54,3114.6,225,169,255,3.3,32.0,10,0,0,0,0,0,2,44.0
19,C. Graley ,ABS,52:12,3132.0,242,164,270,3.9,30.7,14,29,0,0,0,0,2,75.7
20,S. Kapila,Tesla,52:24,3144.5,255,0,199,3.3,29.3,5,0,0,0,0,0,2,36.3
21,D. Thompson,ABS,52:26,3146.1,256,0,229,3.0,28.0,9,0,0,0,0,0,2,39.0
22,A. (Scottie) Neil,Tesla,52:51,3171.5,282,151,193,2.8,26.7,5,0,0,0,0,0,2,33.7
23,R. Tyler,AZT,53:17,3197.5,308,155,265,2.6,25.3,,0,0,0,0,0,2,27.3
24,C. Monk,Lego,56:00,3360.4,471,0,218,3.1,24.0,8,0,0,0,0,0,2,34.0
25,B. Wilson,AZT,56:00,3360.8,471,0,118,3.9,21.3,,0,0,0,0,0,2,23.3
26,D. Singh,AZT,57:20,3440.5,551,165,194,2.6,18.7,,0,0,0,0,0,2,20.7
27,J. Coote,Tesla,0:00,,2573,0,0,0.0,16.0,0,0,0,0,0,0,2,18.0
28,L. Felton,Lego,0:00,,3421,0,0,0.0,13.3,0,0,0,0,0,0,2,15.3
